,source_taxon_name,interaction_type,target_taxon_name
139,Apis mellifera,pollinates,Badula insularis
140,Apis mellifera,pollinates,Labourdonnaisia calophylloides
141,Apis mellifera,pollinates,Piscidia piscipula
142,Apis mellifera,pollinates,Gonzalagunia hirsuta
143,Apis mellifera,pollinates,Anchusa undulata
144,Apis mellifera,pollinates,Penstemon secundiflorus
145,Apis mellifera,pollinates,Capparis odoratissima
146,Apis mellifera,pollinates,Erysimum scoparium
147,Apis mellifera,pollinates,Astragalus sinicus
148,Apis mellifera,pollinates,Astilbe thunbergii
149,Apis mellifera,pollinates,Pimelea ligustrina
150,Apis mellifera,pollinates,Justicia procumbens
151,Apis mellifera,pollinates,Scorzonera
152,Apis mellifera,pollinates,Osyris
153,Apis mellifera,pollinates,Astragalus monspessulanus
154,Apis mellifera,pollinates,Excoecaria
155,Apis mellifera,pollinates,Anthyllis
156,Apis mellifera,pollinates,Tribulus cistoides
157,Apis mellifera,pollinates,Cardamine angustata
158,Apis mellifera,pollinates,Eruca vesicaria
159,Apis mellifera,pollinates,Flagellaria indica
160,Apis mellifera,pollinates,Salvia verbenaca
161,Apis mellifera,pollinates,Biscutella didyma
162,Apis mellifera,pollinates,Erodium malacoides
163,Apis mellifera,pollinates,Gagea
164,Apis mellifera,pollinates,Reseda alba
165,Apis mellifera,pollinates,Phillyrea
166,Apis mellifera,pollinates,Epipactis palustris
167,Apis mellifera,pollinates,Ajuga reptans
168,Apis mellifera,pollinates,Matricaria recutita
169,Apis mellifera,pollinates,Ornithogalum
170,Apis mellifera,pollinates,Humiria
171,Apis mellifera,pollinates,Evodia
172,Apis mellifera,pollinates,Rubus deliciosus
173,Apis mellifera,pollinates,Stanleya
174,Apis mellifera,pollinates,Clusia
175,Apis mellifera,pollinates,Hirschfeldia incana
176,Apis mellifera,pollinates,Mentzelia multiflora
177,Apis mellifera,pollinates,Frasera speciosa
178,Apis mellifera,pollinates,Phlomis
179,Apis mellifera,pollinates,Cistus salviifolius
180,Apis mellifera,pollinates,Cistus albidus
181,Apis mellifera,pollinates,Alternanthera ficoidea
182,Apis mellifera,pollinates,Dracaena reflexa
183,Apis mellifera,pollinates,Evolvulus
184,Apis mellifera,pollinates,Crocus
185,Apis mellifera,pollinates,Berberis darwinii
186,Apis mellifera,pollinates,Lespedeza bicolor
187,Apis mellifera,pollinates,Thespesia populnea
188,Apis mellifera,pollinates,Erythronium umbilicatum
189,Apis mellifera,pollinates,Abelia
190,Apis mellifera,pollinates,Cyclamen
191,Apis mellifera,pollinates,Satureja
192,Apis mellifera,pollinates,Asclepias speciosa
193,Apis mellifera,pollinates,Geranium richardsonii
